2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 33, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03164 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 34, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03124 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 35, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03177 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 36, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03144 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 37, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03228 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 38, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03351 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 39, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03751 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 40, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03315 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 41, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03137 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 42, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03053 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 43, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.02952 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 44, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03406 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 45, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03107 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 46, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03140 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 47, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03206 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 48, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03045 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 49, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03149 seconds
2022/07/10 04:47:34 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 50, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03286 seconds
